tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Split,8,14.8k,7.3k,Semi-buy: 10-20k,Loss,7386
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Lotus,11,22.8k,16.0k,Full buy: 20k+,Win,15072
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Lotus,5,19.6k,5.9k,Semi-buy: 10-20k,Loss,
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Haven,2,2.8k,8.3k,Eco: 0-5k,Loss,7386
Champions Tour 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Pearl,9,22.0k,2.6k,Full buy: 20k+,Win,2359
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Icebox,2,2.4k,8.9k,Eco: 0-5k,Loss,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Haven,11,22.2k,1.4k,Full buy: 20k+,Loss,2359
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Lotus,25,24.4k,0.9k,Full buy: 20k+,Loss,2406
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Pearl,10,25.1k,23.2k,Full buy: 20k+,Win,188
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Split,8,24.6k,30.6k,Full buy: 20k+,Loss,2
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Haven,13,3.3k,0.4k,Eco: 0-5k,Win,188
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Fracture,18,23.2k,15.8k,Full buy: 20k+,Win,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Pearl,23,13.6k,1.0k,Semi-buy: 10-20k,Win,5248
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Split,1,3.9k,0.3k,Eco: 0-5k,Win,6961
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Split,12,25.6k,14.5k,Full buy: 20k+,Loss,6961
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,18,18.9k,1.2k,Semi-buy: 10-20k,Loss,2
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Split,18,23.4k,15.5k,Full buy: 20k+,Win,120
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Pearl,11,25.8k,8.0k,Full buy: 20k+,Win,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Split,7,24.5k,4.6k,Full buy: 20k+,Loss,5248
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Lotus,27,24.1k,1.1k,Full buy: 20k+,Loss,7386
Champions Tour 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Haven,12,24.0k,15.5k,Full buy: 20k+,Loss,2
Champions Tour 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Pearl,14,2.0k,8.4k,Eco: 0-5k,Win,2
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,Split,12,21.1k,4.5k,Full buy: 20k+,Win,1120
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,DRX vs Sentinels,Haven,13,3.4k,0.2k,Eco: 0-5k,Loss,2
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,15,21.3k,0.4k,Full buy: 20k+,Loss,8185
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Bind,12,23.3k,22.1k,Full buy: 20k+,Loss,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,8,24.3k,36.1k,Full buy: 20k+,Win,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,17,20.8k,17.5k,Full buy: 20k+,Win,2059
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,12,21.7k,2.5k,Full buy: 20k+,Loss,2059
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Fracture,12,25.9k,7.4k,Full buy: 20k+,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Split,7,22.4k,1.3k,Full buy: 20k+,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Split,8,22.9k,18.2k,Full buy: 20k+,Loss,1120
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,5,2.9k,11.1k,Eco: 0-5k,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,5,20.0k,5.6k,Full buy: 20k+,Loss,397
