tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Haven,Pistol Won,0,2,11058
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,$$$ (won),25,14,11058
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,All Maps,$$ (won),10,6,8185
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,All Maps,$ (won),0,0,7386
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,$ (won),0,0,11058
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Ascent,$$ (won),2,2,1001
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Ascent,$$$ (won),12,9,1001
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,All Maps,$$$ (won),43,21,7386
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,All Maps,Eco (won),8,4,2359
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,All Maps,Pistol Won,0,1,
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,All Maps,$$ (won),18,7,188
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus,$$$ (won),14,9,
VCT 2025: Americas Stage 2,Showmatch,Override,Team Alpha vs Team Omega,Corrode,$$$ (won),9,7,19707
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,$ (won),0,0,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,All Maps,Eco (won),9,5,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Bind,Eco (won),3,2,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,All Maps,$$ (won),12,4,2593
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Ascent,Eco (won),4,0,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Icebox,Eco (won),2,2,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,Haven,$$$ (won),12,3,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,Ascent,$$ (won),4,3,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,Icebox,$ (won),1,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Rex Regum Qeon vs Team Secret,Sunset,$$ (won),3,3,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,Lotus,Pistol Won,0,0,11060
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Haven,Eco (won),3,0,7386
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,All Maps,$$$ (won),20,9,7386
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,Split,$$$ (won),16,12,624
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Icebox,$$ (won),4,0,13581
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Ascent,$$$ (won),11,8,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,All Maps,Pistol Won,0,3,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,All Maps,$$$ (won),54,29,397
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,All Maps,Pistol Won,0,2,11479
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Split,Eco (won),3,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Ascent,$$$ (won),11,5,878
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Lotus,$ (won),0,0,17
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Haven,$$$ (won),6,1,6961
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,All Maps,$ (won),5,0,
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Haven,Pistol Won,0,1,188
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Haven,$$ (won),7,2,188
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,All Maps,$$ (won),9,4,188
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Lotus,$$ (won),3,1,2
VCT 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Lotus,$$ (won),7,2,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,All Maps,$ (won),4,1,120
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,$$$ (won),12,7,5248
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Pearl,$ (won),2,1,11058
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Bind,$ (won),0,0,14
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,$ (won),1,0,474
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,All Maps,Pistol Won,0,3,12694
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,Pistol Won,0,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Haven,$$$ (won),11,9,12694
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,$ (won),2,0,1184
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,All Maps,Eco (won),8,1,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,All Maps,Pistol Won,0,5,397
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Abyss,$$ (won),4,0,918
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,All Maps,$$$ (won),47,24,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Bind,$$$ (won),6,0,8304
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Abyss,Eco (won),2,2,8185
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,Bind,Eco (won),4,0,7386
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,$ (won),1,0,2593
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus,$$$ (won),17,10,1001
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Lotus,Eco (won),3,2,11058
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,All Maps,$ (won),6,0,14419
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,Eco (won),3,2,8185
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Bind,Eco (won),3,1,2593
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven,$ (won),0,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,All Maps,$$$ (won),25,18,120
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent,$$ (won),3,2,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,All Maps,$ (won),5,2,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Icebox,$$ (won),2,2,2
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,All Maps,Pistol Won,0,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,All Maps,$$ (won),24,13,
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Haven,Eco (won),3,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Sunset,Pistol Won,0,1,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,$ (won),2,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Pistol Won,0,3,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,$$$ (won),9,5,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Ascent,$$$ (won),13,8,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,All Maps,Eco (won),8,2,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,All Maps,Eco (won),7,3,8877
