tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Lotus,Dragon Ranger Gaming,9,4,5,0,Bilibili Gaming,13,5,8,0,46:21
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,Haven,TALON,5,5,0,0,Nongshim RedForce,13,6,7,0,46:26
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Pearl,TALON,7,3,4,0,Nongshim RedForce,13,4,9,0,48:02
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Lotus,Mega Minors,10,6,4,0,FURIA,13,7,6,0,1:03:20
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,BBL Esports,13,6,7,0,GIANTX,9,3,6,0,1:05:24
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Bind,Paper Rex,6,3,3,0,T1,13,4,9,0,43:53
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Haven,Rex Regum Qeon,13,8,5,0,Team Secret,4,0,4,0,41:34
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Corrode,MIBR,13,9,4,0,Rex Regum Qeon,5,2,3,0,44:14
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Bind,Gentle Mates,5,3,2,0,Team Heretics,13,4,9,0,45:40
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,Sunset,JDG Esports,7,2,5,0,Bilibili Gaming,13,3,10,0,56:51
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Split,Rex Regum Qeon,14,8,4,2,Paper Rex,12,8,4,0,53:25
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Lotus,KRÜ Esports,8,4,4,0,MIBR,13,5,8,0,58:52
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Haven,100 Thieves,13,3,10,0,LEVIATÁN,10,1,9,0,54:45
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Icebox,Mega Minors,13,10,3,0,LEVIATÁN,2,0,2,0,28:36
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Corrode,Team Liquid,13,8,5,0,Natus Vincere,7,3,4,0,48:39
